Type,Bg_RRGGBB, Bg_L,Bg_a,Bg_b,Bg_TD_RRGGBB,Bg_TD_L,Bg_TD_a,Bg_TD_b,Bg_ND_RRGGBB,Bg_ND_L,Bg_ND_a,Bg_ND_b,Fg_L,Fg_a,Fg_b,CS_Fg_L,CS_Fg_a,CS_Fg_b,ComC_Fg_L,ComC_Fg_a,ComC_Fg_b,GammutFlag,CSBin_Fg_L,CSBin_Fg_a,CSBin_Fg_b,Measuredc_Fg_L,Measuredc_Fg_a,Measuredc_Fg_b
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,33.97751852,22.05017002,44.1800913,32.31373428,4.582619614,28.57918605,10.56295294,-41.1310335,-93.49853343,1,10.56295294,-41.1310335,-93.49853343,42.1080652,42.30470455,-78.33237896
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,62.00190549,-33.54342845,52.81743406,58.16496977,-34.54572528,45.88564161,55.69326044,-65.29876216,-7.080941184,1,55.69326044,-65.29876216,-7.080941184,66.3438122,-14.37597393,-31.28225875
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,21.26067784,47.73658577,-32.23333858,21.18859711,47.58211531,-43.48196489,21.88091411,-1.850288753,-58.08458093,1,21.88091411,-1.850288753,-58.08458093,43.41887326,29.68751651,-67.29400482
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,51.99492697,6.541865374,-55.76942765,48.23482588,0.583293956,-38.69445631,43.27580661,-16.52093245,-31.70592997,0,43.27580661,-16.52093245,-31.70592997,54.9691848,11.05469231,-54.70918191
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,47.57039914,52.35683355,8.096924153,37.02236721,28.67998486,-18.04328186,37.22857519,48.68699669,-28.29550035,0,37.22857519,48.68699669,-28.29550035,46.09640278,44.24430172,-59.32193411
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,13.24442394,32.40089471,16.99338041,15.85039121,17.13987244,-2.604870473,27.28137186,23.52414863,-65.42576943,1,27.28137186,23.52414863,-65.42576943,44.63183679,38.02792567,-73.6499729
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,90.51376898,-10.65138622,89.5699458,58.47581915,-26.4413553,63.62555215,87.30082352,-19.93657853,53.29299599,0,87.30082352,-19.93657853,53.29299599,69.01124029,-8.10494306,-13.623293
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,47.22337773,57.56009575,2.864568131,34.64062977,37.14446178,-24.88139498,36.73168076,55.8993454,-25.58156099,0,36.73168076,55.8993454,-25.58156099,44.51839998,48.22654047,-58.58279897
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,48.20584044,-0.712804515,28.20879707,45.75039795,-5.637273371,15.58792689,38.12870673,-35.14128576,-37.03948336,1,38.12870673,-35.14128576,-37.03948336,52.92759897,14.84454998,-55.65314357
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,76.27384353,-14.21756388,18.74959738,60.85216797,-3.564572095,-10.93392995,71.91819421,-28.18841685,121.5346294,1,71.91819421,-28.18841685,121.5346294,67.71734199,-23.00170592,17.48998179
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,76.07442525,-48.31254952,-0.6246258,58.73754994,-16.07513137,-21.54518603,71.69845293,-70.4342746,42.8768194,0,71.69845293,-70.4342746,42.8768194,65.74087896,-27.04258061,-10.28351508
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,57.1015456,27.0637587,64.14468614,46.93510502,-8.629467729,46.91698732,49.77407983,15.77229148,-23.03354791,0,49.77407983,15.77229148,-23.03354791,57.38588844,20.991832,-51.59077787
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,43.14510379,45.89605188,-70.98979001,36.64022753,36.28411744,-57.58035936,30.54074369,40.26375272,-53.59956734,0,30.54074369,40.26375272,-53.59956734,44.30455226,43.58772775,-73.69592904
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,41.92479941,64.13940678,-6.985732527,31.2541789,45.4382772,-33.07341618,28.52423204,68.47055891,-39.13186834,1,28.52423204,68.47055891,-39.13186834,37.24352667,62.14293673,-70.94094081
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,41.58247458,79.15685235,-73.26397875,30.02235133,69.44288924,-67.37577665,27.94063889,90.08194525,-57.37910417,1,27.94063889,90.08194525,-57.37910417,41.59504587,65.21609931,-77.32951605
