L,A,B,MLA,MA,MlaB,MX,My,MZ,r,g,b
33.94123467,-40.1614685,33.97650107,26.73476538,-23.42224192,11.04145932,0.0316,0.05,0.03345,0,85,13
34.06034009,-38.65246747,28.12203181,26.82006454,-23.95968838,9.814424923,0.0315,0.0503,0.0357,0,85,25
38.66106657,2.698248796,-42.26666671,33.08161769,26.82704155,-61.11618994,0.103,0.07575,0.4213,0,85,153
43.3200996,27.18509159,-70.8569229,40.3610569,63.04026251,-101.4726427,0.2178,0.1147,1.06685,0,86,219
38.8311033,-1.709779144,-37.42198769,32.97338885,21.96800293,-56.35111366,0.09625,0.07525,0.3798,0,87,145
38.72346325,-5.44925896,-32.9764527,32.33601407,15.30016734,-49.81501743,0.08505,0.07235,0.3213,0,88,137
35.33543013,-42.34455146,39.65544216,28.30061149,-29.07666203,14.53137889,0.03225,0.0557,0.0322,0,89,5
38.27015703,-12.19558684,-24.31982587,30.70013771,4.431360102,-39.40069001,0.0662,0.06525,0.2347,0,89,121
43.4795273,21.9350321,-65.82827391,39.36064872,55.54687979,-95.40096079,0.19355,0.1087,0.9461,0,89,210
38.96736327,-9.74017468,-27.934568,31.82966384,6.572300491,-43.9806844,0.0732,0.0701,0.27515,0,90,129
38.57729072,-16.32723197,-19.09446154,31.53215106,-3.330807066,-31.49159298,0.06225,0.0688,0.1987,0,91,113
38.92297352,-13.35425496,-23.30402708,32.02220778,2.045742858,-36.65963602,0.06945,0.07095,0.232,0,91,121
43.41741135,17.28567502,-61.11889128,38.86388344,48.67557251,-89.17999227,0.1763,0.1058,0.8447,0,91,201
38.58704261,-19.77480967,-14.29118733,31.72709813,-7.295119057,-26.1413156,0.0594,0.06965,0.1735,0,92,105
47.3164729,35.08028607,-81.44256161,46.35841603,74.2820739,-92.48548961,0.307,0.15535,1.0888,0,92,252
38.38478656,-25.45577949,-5.513725863,32.16841212,-12.19310277,-16.44638961,0.05675,0.0716,0.13405,0,93,90
43.39801503,12.60502117,-56.29702718,39.00181962,39.46653519,-81.45450575,0.1608,0.1066,0.7456,0,93,192
38.27150376,-30.64040228,3.507893593,31.13738609,-25.42802923,-2.844067275,0.0427,0.0671,0.081,0,94,75
38.9980411,-23.26929631,-9.450209547,32.1796219,-13.97866259,-17.75756784,0.05525,0.07165,0.1395,0,94,98
38.2456562,-35.19773417,12.67831082,31.20753112,-29.41392131,6.247664327,0.0401,0.0674,0.05775,0,95,60
38.81634214,-28.98042431,0.007256935,31.77273726,-21.16146112,-7.324677257,0.04795,0.06985,0.0982,0,95,82
43.42121429,7.911070221,-51.36250714,38.22556838,34.60274494,-76.37963618,0.1469,0.10215,0.66715,0,95,183
47.33528347,29.67983241,-76.28680441,45.7026035,66.16602368,-93.61620086,0.27855,0.1505,1.0888,0,95,242
38.16602281,-40.69541452,26.82409174,31.95442758,-33.28687629,13.91753826,0.03965,0.07065,0.04425,0,96,36
38.75671615,-33.78221458,9.10500059,32.50246172,-28.10919362,5.020367284,0.04505,0.0731,0.0661,0,96,67
48.31636105,32.56847176,-79.80650968,47.52720995,72.05209005,-90.47032768,0.3146,0.16425,1.0888,0,96,252
38.20651075,-45.03009107,43.46483991,31.45141199,-32.36685438,13.33635032,0.0388,0.06845,0.0437,0,97,0
38.64049478,-39.57757924,22.80941835,31.81828937,-35.66625334,14.78826191,0.03765,0.07005,0.04215,0,97,44
38.78162184,-37.8949734,18.24737557,32.49140072,-30.43561419,10.16966037,0.0433,0.07305,0.0539,0,97,52
43.5432784,3.604735032,-46.77652181,38.14582478,28.93719883,-69.60228459,0.13725,0.1017,0.58895,0,97,175
38.60238047,-44.82831217,41.16982529,31.58965432,-37.75393163,19.63119638,0.03565,0.06905,0.0331,0,98,10
38.74392935,-43.01407136,33.35618957,32.15719713,-32.35737129,20.32812097,0.0409,0.07155,0.03355,0,98,25
